symbol,date,price,label
Frequency,Jan 2000,39.81,Frequency
Frequency,Feb 2000,36.35,Frequency
Frequency,Mar 2000,43.22,Frequency
Frequency,Apr 2000,28.37,Frequency
Frequency,May 2000,25.45,Frequency
Frequency,Jun 2000,32.54,Frequency
Frequency,Jul 2000,28.4,Frequency
Frequency,Aug 2000,28.4,Frequency
Frequency,Sep 2000,24.53,Frequency
Frequency,Oct 2000,28.02,Frequency
Frequency,Nov 2000,23.34,Frequency
Frequency,Dec 2000,17.65,Frequency
Frequency,Jan 2001,24.84,Frequency
Frequency,Feb 2001,24,Frequency
Frequency,Mar 2001,22.25,Frequency
Frequency,Apr 2001,27.56,Frequency
Frequency,May 2001,28.14,Frequency
Frequency,Jun 2001,29.7,Frequency
Frequency,Jul 2001,26.93,Frequency
Frequency,Aug 2001,23.21,Frequency
Frequency,Sep 2001,20.82,Frequency
Frequency,Oct 2001,23.65,Frequency
Frequency,Nov 2001,26.12,Frequency
Frequency,Dec 2001,26.95,Frequency
Frequency,Jan 2002,25.92,Frequency
Frequency,Feb 2002,23.73,Frequency
Frequency,Mar 2002,24.53,Frequency
Frequency,Apr 2002,21.26,Frequency
Frequency,May 2002,20.71,Frequency
Frequency,Jun 2002,22.25,Frequency
Frequency,Jul 2002,19.52,Frequency
Frequency,Aug 2002,19.97,Frequency
Frequency,Sep 2002,17.79,Frequency
Frequency,Oct 2002,21.75,Frequency
Frequency,Nov 2002,23.46,Frequency
Frequency,Dec 2002,21.03,Frequency
Frequency,Jan 2003,19.31,Frequency
Frequency,Feb 2003,19.34,Frequency
Frequency,Mar 2003,19.76,Frequency
Frequency,Apr 2003,20.87,Frequency
Frequency,May 2003,20.09,Frequency
Frequency,Jun 2003,20.93,Frequency
Frequency,Jul 2003,21.56,Frequency
Frequency,Aug 2003,21.65,Frequency
Frequency,Sep 2003,22.69,Frequency
Frequency,Oct 2003,21.45,Frequency
Frequency,Nov 2003,21.1,Frequency
Frequency,Dec 2003,22.46,Frequency
Frequency,Jan 2004,22.69,Frequency
Frequency,Feb 2004,21.77,Frequency
Frequency,Mar 2004,20.46,Frequency
Frequency,Apr 2004,21.45,Frequency
Frequency,May 2004,21.53,Frequency
Frequency,Jun 2004,23.44,Frequency
Frequency,Jul 2004,23.38,Frequency
Frequency,Aug 2004,22.47,Frequency
Frequency,Sep 2004,22.76,Frequency
Frequency,Oct 2004,23.02,Frequency
Frequency,Nov 2004,24.6,Frequency
Frequency,Dec 2004,24.52,Frequency
Frequency,Jan 2005,24.11,Frequency
Frequency,Feb 2005,23.15,Frequency
Frequency,Mar 2005,22.24,Frequency
Frequency,Apr 2005,23.28,Frequency
Frequency,May 2005,23.82,Frequency
Frequency,Jun 2005,22.93,Frequency
Frequency,Jul 2005,23.64,Frequency
Frequency,Aug 2005,25.35,Frequency
Frequency,Sep 2005,23.83,Frequency
Frequency,Oct 2005,23.8,Frequency
Frequency,Nov 2005,25.71,Frequency
Frequency,Dec 2005,24.29,Frequency
Frequency,Jan 2006,26.14,Frequency
Frequency,Feb 2006,25.04,Frequency
Frequency,Mar 2006,25.36,Frequency
Frequency,Apr 2006,22.5,Frequency
Frequency,May 2006,21.19,Frequency
Frequency,Jun 2006,21.8,Frequency
Frequency,Jul 2006,22.51,Frequency
Frequency,Aug 2006,24.13,Frequency
Frequency,Sep 2006,25.68,Frequency
Frequency,Oct 2006,26.96,Frequency
Frequency,Nov 2006,27.66,Frequency
Frequency,Dec 2006,28.13,Frequency
Frequency,Jan 2007,29.07,Frequency
Frequency,Feb 2007,26.63,Frequency
Frequency,Mar 2007,26.35,Frequency
Frequency,Apr 2007,28.3,Frequency
Frequency,May 2007,29.11,Frequency
Frequency,Jun 2007,27.95,Frequency
Frequency,Jul 2007,27.5,Frequency
Frequency,Aug 2007,27.34,Frequency
Frequency,Sep 2007,28.04,Frequency
Frequency,Oct 2007,35.03,Frequency
Frequency,Nov 2007,32.09,Frequency
Frequency,Dec 2007,34,Frequency
Frequency,Jan 2008,31.13,Frequency
Frequency,Feb 2008,26.07,Frequency
Frequency,Mar 2008,27.21,Frequency
Frequency,Apr 2008,27.34,Frequency
Frequency,May 2008,27.25,Frequency
Frequency,Jun 2008,26.47,Frequency
Frequency,Jul 2008,24.75,Frequency
Frequency,Aug 2008,26.36,Frequency
Frequency,Sep 2008,25.78,Frequency
Frequency,Oct 2008,21.57,Frequency
Frequency,Nov 2008,19.66,Frequency
Frequency,Dec 2008,18.91,Frequency
Frequency,Jan 2009,16.63,Frequency
Frequency,Feb 2009,15.81,Frequency
Frequency,Mar 2009,17.99,Frequency
Frequency,Apr 2009,19.84,Frequency
Frequency,May 2009,20.59,Frequency
Frequency,Jun 2009,23.42,Frequency
Frequency,Jul 2009,23.18,Frequency
Frequency,Aug 2009,24.43,Frequency
Frequency,Sep 2009,25.49,Frequency
Frequency,Oct 2009,27.48,Frequency
Frequency,Nov 2009,29.27,Frequency
Frequency,Dec 2009,30.34,Frequency
Frequency,Jan 2010,28.05,Frequency
Frequency,Feb 2010,28.67,Frequency
Frequency,Mar 2010,28.8,Frequency
PV,Jan 2000,64.56,Publicity Value
PV,Feb 2000,68.87,Publicity Value
PV,Mar 2000,67,Publicity Value
PV,Apr 2000,55.19,Publicity Value
PV,May 2000,48.31,Publicity Value
PV,Jun 2000,36.31,Publicity Value
PV,Jul 2000,30.12,Publicity Value
PV,Aug 2000,41.5,Publicity Value
PV,Sep 2000,38.44,Publicity Value
PV,Oct 2000,36.62,Publicity Value
PV,Nov 2000,24.69,Publicity Value
PV,Dec 2000,15.56,Publicity Value
PV,Jan 2001,17.31,Publicity Value
PV,Feb 2001,10.19,Publicity Value
PV,Mar 2001,10.23,Publicity Value
PV,Apr 2001,15.78,Publicity Value
PV,May 2001,16.69,Publicity Value
PV,Jun 2001,14.15,Publicity Value
PV,Jul 2001,12.49,Publicity Value
PV,Aug 2001,8.94,Publicity Value
PV,Sep 2001,5.97,Publicity Value
PV,Oct 2001,6.98,Publicity Value
PV,Nov 2001,11.32,Publicity Value
PV,Dec 2001,10.82,Publicity Value
PV,Jan 2002,14.19,Publicity Value
PV,Feb 2002,14.1,Publicity Value
PV,Mar 2002,14.3,Publicity Value
PV,Apr 2002,16.69,Publicity Value
PV,May 2002,18.23,Publicity Value
PV,Jun 2002,16.25,Publicity Value
PV,Jul 2002,14.45,Publicity Value
PV,Aug 2002,14.94,Publicity Value
PV,Sep 2002,15.93,Publicity Value
PV,Oct 2002,19.36,Publicity Value
PV,Nov 2002,23.35,Publicity Value
PV,Dec 2002,18.89,Publicity Value
PV,Jan 2003,21.85,Publicity Value
PV,Feb 2003,22.01,Publicity Value
PV,Mar 2003,26.03,Publicity Value
PV,Apr 2003,28.69,Publicity Value
PV,May 2003,35.89,Publicity Value
PV,Jun 2003,36.32,Publicity Value
PV,Jul 2003,41.64,Publicity Value
PV,Aug 2003,46.32,Publicity Value
PV,Sep 2003,48.43,Publicity Value
PV,Oct 2003,54.43,Publicity Value
PV,Nov 2003,53.97,Publicity Value
PV,Dec 2003,52.62,Publicity Value
PV,Jan 2004,50.4,Publicity Value
PV,Feb 2004,43.01,Publicity Value
PV,Mar 2004,43.28,Publicity Value
PV,Apr 2004,43.6,Publicity Value
PV,May 2004,48.5,Publicity Value
PV,Jun 2004,54.4,Publicity Value
PV,Jul 2004,38.92,Publicity Value
PV,Aug 2004,38.14,Publicity Value
